vendor,vendor_slug,sku,product_slug,product_name,official_name,color_icon,monochrome_icon,rule
Suno,suno,SUNO-PRO,suno-pro,Suno Pro,Suno Pro (годовая оплата),svg/color/products/suno-product-color-512.svg,svg/monochrome/products/suno-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Suno,suno,SUNO-PREMIER,suno-premier,Suno Premier,Suno Premier (годовая оплата),svg/color/products/suno-product-color-512.svg,svg/monochrome/products/suno-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Kling AI,kling-ai,KLING-STANDARD,kling-standard,Kling AI Standard,Kling AI Standard (годовая оплата),svg/color/products/kling-ai-product-color-512.svg,svg/monochrome/products/kling-ai-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Kling AI,kling-ai,KLING-PRO,kling-pro,Kling AI Pro,Kling AI Pro (годовая оплата),svg/color/products/kling-ai-product-color-512.svg,svg/monochrome/products/kling-ai-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Kling AI,kling-ai,KLING-PREMIER,kling-premier,Kling AI Premier,Kling AI Premier (годовая оплата),svg/color/products/kling-ai-product-color-512.svg,svg/monochrome/products/kling-ai-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Leonardo AI,leonardo-ai,LEONARDO-APPRENTICE,leonardo-apprentice,Leonardo AI Apprentice,Leonardo AI Apprentice (годовая оплата),svg/color/products/leonardo-ai-product-color-512.svg,svg/monochrome/products/leonardo-ai-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Leonardo AI,leonardo-ai,LEONARDO-ARTISAN,leonardo-artisan,Leonardo AI Artisan,Leonardo AI Artisan (годовая оплата),svg/color/products/leonardo-ai-product-color-512.svg,svg/monochrome/products/leonardo-ai-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Leonardo AI,leonardo-ai,LEONARDO-MAESTRO,leonardo-maestro,Leonardo AI Maestro,Leonardo AI Maestro (годовая оплата),svg/color/products/leonardo-ai-product-color-512.svg,svg/monochrome/products/leonardo-ai-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
CapCut,capcut,CAPCUT-PRO,capcut-pro,CapCut Pro,CapCut Pro (годовая оплата),svg/color/products/capcut-product-color-512.svg,svg/monochrome/products/capcut-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
CapCut,capcut,CAPCUT-TEAM,capcut-team,CapCut Team,"CapCut Team (за пользователя, годовая оплата)",svg/color/products/capcut-product-color-512.svg,svg/monochrome/products/capcut-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Cloudflare,cloudflare,CLOUDFLARE-PRO,cloudflare-pro,Cloudflare Pro,"Cloudflare Pro (за домен, годовая оплата)",svg/color/products/cloudflare-product-color-512.svg,svg/monochrome/products/cloudflare-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Cloudflare,cloudflare,CLOUDFLARE-BUSINESS,cloudflare-business,Cloudflare Business,"Cloudflare Business (за домен, годовая оплата)",svg/color/products/cloudflare-product-color-512.svg,svg/monochrome/products/cloudflare-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Principle,principle,PRINCIPLE-LICENSE,principle-license,Principle — бессрочная лицензия,"Principle for Mac (perpetual license, 1 computer)",svg/color/products/principle-product-color-512.svg,svg/monochrome/products/principle-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Principle,principle,PRINCIPLE-UPDATES,principle-updates,Principle — продление обновлений на год,"Principle for Mac (updates renewal, 1 year)",svg/color/products/principle-product-color-512.svg,svg/monochrome/products/principle-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Box,box,BOX-BUSINESS,box-business,Box Business,"Box Business (годовая оплата, от 3 пользователей)",svg/color/products/box-product-color-512.svg,svg/monochrome/products/box-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Box,box,BOX-BUSINESS-PLUS,box-business-plus,Box Business Plus,"Box Business Plus (годовая оплата, от 3 пользователей)",svg/color/products/box-product-color-512.svg,svg/monochrome/products/box-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Atlassian,atlassian,JIRA-STANDARD,jira-standard,Jira Standard,Jira Cloud Standard (годовая оплата),svg/color/products/atlassian-product-color-512.svg,svg/monochrome/products/atlassian-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Atlassian,atlassian,JIRA-PREMIUM,jira-premium,Jira Premium,Jira Cloud Premium (годовая оплата),svg/color/products/atlassian-product-color-512.svg,svg/monochrome/products/atlassian-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Atlassian,atlassian,CONFLUENCE-STANDARD,confluence-standard,Confluence Standard,Confluence Cloud Standard (годовая оплата),svg/color/products/atlassian-product-color-512.svg,svg/monochrome/products/atlassian-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Atlassian,atlassian,CONFLUENCE-PREMIUM,confluence-premium,Confluence Premium,Confluence Cloud Premium (годовая оплата),svg/color/products/atlassian-product-color-512.svg,svg/monochrome/products/atlassian-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Postman,postman,POSTMAN-SOLO,postman-solo,Postman Solo,Postman Solo (годовая оплата),svg/color/products/postman-product-color-512.svg,svg/monochrome/products/postman-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Postman,postman,POSTMAN-PROFESSIONAL,postman-professional,Postman Professional,Postman Professional (годовая оплата),svg/color/products/postman-product-color-512.svg,svg/monochrome/products/postman-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
TeamViewer,teamviewer,TEAMVIEWER-REMOTE-ACCESS,teamviewer-remote-access,TeamViewer Remote Access,TeamViewer Remote Access (годовая оплата),svg/color/products/teamviewer-product-color-512.svg,svg/monochrome/products/teamviewer-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
TeamViewer,teamviewer,TEAMVIEWER-BUSINESS,teamviewer-business,TeamViewer Business,TeamViewer Business (годовая оплата),svg/color/products/teamviewer-product-color-512.svg,svg/monochrome/products/teamviewer-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
TeamViewer,teamviewer,TEAMVIEWER-PREMIUM,teamviewer-premium,TeamViewer Premium,TeamViewer Premium (годовая оплата),svg/color/products/teamviewer-product-color-512.svg,svg/monochrome/products/teamviewer-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
TeamViewer,teamviewer,TEAMVIEWER-CORPORATE,teamviewer-corporate,TeamViewer Corporate,TeamViewer Corporate (годовая оплата),svg/color/products/teamviewer-product-color-512.svg,svg/monochrome/products/teamviewer-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
BrowserStack,browserstack,BROWSERSTACK-LIVE-TEAM,browserstack-live-team,BrowserStack Live Team,BrowserStack Live — Team (годовая оплата),svg/color/products/browserstack-product-color-512.svg,svg/monochrome/products/browserstack-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
BrowserStack,browserstack,BROWSERSTACK-LIVE-TEAM-PRO,browserstack-live-team-pro,BrowserStack Live Team Pro,BrowserStack Live — Team Pro (годовая оплата),svg/color/products/browserstack-product-color-512.svg,svg/monochrome/products/browserstack-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
ManageEngine,manageengine,MANAGEENGINE-SERVICEDESK-STANDARD-10,manageengine-servicedesk-standard-10,"ManageEngine ServiceDesk Plus Standard, 10 специалистов","ManageEngine ServiceDesk Plus Standard Edition, 10 Technicians (Annual Subscription)",svg/color/products/manageengine-product-color-512.svg,svg/monochrome/products/manageengine-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
ManageEngine,manageengine,MANAGEENGINE-SERVICEDESK-PROFESSIONAL-5,manageengine-servicedesk-professional-5,"ManageEngine ServiceDesk Plus Professional, 5 специалистов","ManageEngine ServiceDesk Plus Professional Edition, 5 Technicians (500 IT Assets), Annual Subscription",svg/color/products/manageengine-product-color-512.svg,svg/monochrome/products/manageengine-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Sentry,sentry,SENTRY-TEAM,sentry-team,Sentry Team,Sentry Team (годовая оплата),svg/color/products/sentry-product-color-512.svg,svg/monochrome/products/sentry-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
Sentry,sentry,SENTRY-BUSINESS,sentry-business,Sentry Business,Sentry Business (годовая оплата),svg/color/products/sentry-product-color-512.svg,svg/monochrome/products/sentry-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
n8n,n8n,N8N-STARTER,n8n-starter,n8n Starter,n8n Cloud Starter (годовая оплата),svg/color/products/n8n-product-color-512.svg,svg/monochrome/products/n8n-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
n8n,n8n,N8N-PRO,n8n-pro,n8n Pro,n8n Cloud Pro (годовая оплата),svg/color/products/n8n-product-color-512.svg,svg/monochrome/products/n8n-product-monochrome-512.svg,Use the same vendor product mark for every SKU of this vendor.
