vendor,vendor_slug,asset_kind,variant,size_px,file,source_url,vendor_site,asset_basis,legal_status,safe_zone_percent,transparent_background
Suno,suno,vendor,color,512,svg/color/vendors/suno-vendor-color-512.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,vendor,color,256,svg/color/vendors/suno-vendor-color-256.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,vendor,color,128,svg/color/vendors/suno-vendor-color-128.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,product,color,512,svg/color/products/suno-product-color-512.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,product,color,256,svg/color/products/suno-product-color-256.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,product,color,128,svg/color/products/suno-product-color-128.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,vendor,monochrome,512,svg/monochrome/vendors/suno-vendor-monochrome-512.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,vendor,monochrome,256,svg/monochrome/vendors/suno-vendor-monochrome-256.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,vendor,monochrome,128,svg/monochrome/vendors/suno-vendor-monochrome-128.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,product,monochrome,512,svg/monochrome/products/suno-product-monochrome-512.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,product,monochrome,256,svg/monochrome/products/suno-product-monochrome-256.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Suno,suno,product,monochrome,128,svg/monochrome/products/suno-product-monochrome-128.svg,https://thesvg.org/icon/suno,https://suno.com,community-vector,Trademark identification; verify permission for commercial brand use.,12.5,True
Kling AI,kling-ai,vendor,color,512,svg/color/vendors/kling-ai-vendor-color-512.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,vendor,color,256,svg/color/vendors/kling-ai-vendor-color-256.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,vendor,color,128,svg/color/vendors/kling-ai-vendor-color-128.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,product,color,512,svg/color/products/kling-ai-product-color-512.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,product,color,256,svg/color/products/kling-ai-product-color-256.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,product,color,128,svg/color/products/kling-ai-product-color-128.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,vendor,monochrome,512,svg/monochrome/vendors/kling-ai-vendor-monochrome-512.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,vendor,monochrome,256,svg/monochrome/vendors/kling-ai-vendor-monochrome-256.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,vendor,monochrome,128,svg/monochrome/vendors/kling-ai-vendor-monochrome-128.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,product,monochrome,512,svg/monochrome/products/kling-ai-product-monochrome-512.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,product,monochrome,256,svg/monochrome/products/kling-ai-product-monochrome-256.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Kling AI,kling-ai,product,monochrome,128,svg/monochrome/products/kling-ai-product-monochrome-128.svg,https://kling.ai,https://kling.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,vendor,color,512,svg/color/vendors/leonardo-ai-vendor-color-512.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,vendor,color,256,svg/color/vendors/leonardo-ai-vendor-color-256.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,vendor,color,128,svg/color/vendors/leonardo-ai-vendor-color-128.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,product,color,512,svg/color/products/leonardo-ai-product-color-512.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,product,color,256,svg/color/products/leonardo-ai-product-color-256.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,product,color,128,svg/color/products/leonardo-ai-product-color-128.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,vendor,monochrome,512,svg/monochrome/vendors/leonardo-ai-vendor-monochrome-512.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,vendor,monochrome,256,svg/monochrome/vendors/leonardo-ai-vendor-monochrome-256.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,vendor,monochrome,128,svg/monochrome/vendors/leonardo-ai-vendor-monochrome-128.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,product,monochrome,512,svg/monochrome/products/leonardo-ai-product-monochrome-512.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,product,monochrome,256,svg/monochrome/products/leonardo-ai-product-monochrome-256.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
Leonardo AI,leonardo-ai,product,monochrome,128,svg/monochrome/products/leonardo-ai-product-monochrome-128.svg,https://leonardo.ai,https://leonardo.ai,typographic-fallback,Trademark identification; fallback is not an official supplied logo asset.,12.5,True
CapCut,capcut,vendor,color,512,svg/color/vendors/capcut-vendor-color-512.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,vendor,color,256,svg/color/vendors/capcut-vendor-color-256.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,vendor,color,128,svg/color/vendors/capcut-vendor-color-128.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,product,color,512,svg/color/products/capcut-product-color-512.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,product,color,256,svg/color/products/capcut-product-color-256.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,product,color,128,svg/color/products/capcut-product-color-128.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,vendor,monochrome,512,svg/monochrome/vendors/capcut-vendor-monochrome-512.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,vendor,monochrome,256,svg/monochrome/vendors/capcut-vendor-monochrome-256.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,vendor,monochrome,128,svg/monochrome/vendors/capcut-vendor-monochrome-128.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,product,monochrome,512,svg/monochrome/products/capcut-product-monochrome-512.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,product,monochrome,256,svg/monochrome/products/capcut-product-monochrome-256.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
CapCut,capcut,product,monochrome,128,svg/monochrome/products/capcut-product-monochrome-128.svg,https://thesvg.org/icon/capcut,https://www.capcut.com,community-vector,theSVG lists MIT for icon file; CapCut trademark remains owned by its proprietor.,12.5,True
