vendor,entity_type,name,slug,variant,size_px,file,source_url,product_reference_url,legal_reference_url,source_format,vectorization,safe_zone,background,legal_status,icon_role
SOLIDWORKS,vendor,SOLIDWORKS,solidworks,color,512,svg/color/vendors/solidworks-vendor-color-512.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,,https://www.3ds.com/about/legal/intellectual-property,PNG raster from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,full wordmark; manufacturer/vendor only
SOLIDWORKS,product_generic,SOLIDWORKS generic product icon,solidworks-product,color,512,svg/color/products/solidworks-product-color-512.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,https://www.3ds.com/store,https://www.3ds.com/about/legal/intellectual-property,PNG crop of official DS mark from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,one shared short icon for every SOLIDWORKS product/SKU listed in product_map
SOLIDWORKS,vendor,SOLIDWORKS,solidworks,color,256,svg/color/vendors/solidworks-vendor-color-256.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,,https://www.3ds.com/about/legal/intellectual-property,PNG raster from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,full wordmark; manufacturer/vendor only
SOLIDWORKS,product_generic,SOLIDWORKS generic product icon,solidworks-product,color,256,svg/color/products/solidworks-product-color-256.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,https://www.3ds.com/store,https://www.3ds.com/about/legal/intellectual-property,PNG crop of official DS mark from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,one shared short icon for every SOLIDWORKS product/SKU listed in product_map
SOLIDWORKS,vendor,SOLIDWORKS,solidworks,color,128,svg/color/vendors/solidworks-vendor-color-128.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,,https://www.3ds.com/about/legal/intellectual-property,PNG raster from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,full wordmark; manufacturer/vendor only
SOLIDWORKS,product_generic,SOLIDWORKS generic product icon,solidworks-product,color,128,svg/color/products/solidworks-product-color-128.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,https://www.3ds.com/store,https://www.3ds.com/about/legal/intellectual-property,PNG crop of official DS mark from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,one shared short icon for every SOLIDWORKS product/SKU listed in product_map
SOLIDWORKS,vendor,SOLIDWORKS,solidworks,monochrome,512,svg/monochrome/vendors/solidworks-vendor-monochrome-512.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,,https://www.3ds.com/about/legal/intellectual-property,PNG raster from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,full wordmark; manufacturer/vendor only
SOLIDWORKS,product_generic,SOLIDWORKS generic product icon,solidworks-product,monochrome,512,svg/monochrome/products/solidworks-product-monochrome-512.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,https://www.3ds.com/store,https://www.3ds.com/about/legal/intellectual-property,PNG crop of official DS mark from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,one shared short icon for every SOLIDWORKS product/SKU listed in product_map
SOLIDWORKS,vendor,SOLIDWORKS,solidworks,monochrome,256,svg/monochrome/vendors/solidworks-vendor-monochrome-256.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,,https://www.3ds.com/about/legal/intellectual-property,PNG raster from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,full wordmark; manufacturer/vendor only
SOLIDWORKS,product_generic,SOLIDWORKS generic product icon,solidworks-product,monochrome,256,svg/monochrome/products/solidworks-product-monochrome-256.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,https://www.3ds.com/store,https://www.3ds.com/about/legal/intellectual-property,PNG crop of official DS mark from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,one shared short icon for every SOLIDWORKS product/SKU listed in product_map
SOLIDWORKS,vendor,SOLIDWORKS,solidworks,monochrome,128,svg/monochrome/vendors/solidworks-vendor-monochrome-128.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,,https://www.3ds.com/about/legal/intellectual-property,PNG raster from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,full wordmark; manufacturer/vendor only
SOLIDWORKS,product_generic,SOLIDWORKS generic product icon,solidworks-product,monochrome,128,svg/monochrome/products/solidworks-product-monochrome-128.svg,https://files.solidworks.com/education/Download_SW_Logos/download_sw_logo.pdf,https://www.3ds.com/store,https://www.3ds.com/about/legal/intellectual-property,PNG crop of official DS mark from official logo package,none,12.5%,transparent,Trademark/copyright asset of Dassault Systèmes/SOLIDWORKS; use subject to applicable brand/trademark guidelines.,one shared short icon for every SOLIDWORKS product/SKU listed in product_map
