family,count,status,vendor_profile,slugs
acronis-cp,16,done,,acronis-cp-adv-3vm acronis-cp-adv-server acronis-cp-adv-vhost acronis-cp-adv-ws acronis-cp-backup-adv-3vm acronis-cp-backup-adv-email-5 acronis-cp-backup-adv-gws-5 acronis-cp-backup-adv-m365-5 acronis-cp-backup-adv-server acronis-cp-backup-adv-vhost acronis-cp-backup-adv-ws acronis-cp-standard-3vm acronis-cp-standard-server acronis-cp-standard-vhost acronis-cp-standard-win-ess acronis-cp-standard-ws
jb-ide,13,done,,jb-all-pack-org jb-clion-org jb-datagrip-org jb-dotultimate-org jb-goland-org jb-idea-ult-org jb-phpstorm-org jb-pycharm-pro-org jb-resharper-org jb-rider-org jb-rubymine-org jb-rustrover-org jb-webstorm-org
adobe-apps,11,done,,adobe-ae adobe-ai adobe-animate adobe-audition adobe-dw adobe-id adobe-incopy adobe-lr adobe-photo adobe-pr adobe-ps
me-servicedesk,11,done,,me-servicedesk-plus-enterprise-2-technicians me-servicedesk-plus-msp-enterprise-2-technicians-and-250-it-assets me-servicedesk-plus-msp-enterprise-multi-language-2-technicians-and-250-it-assets me-servicedesk-plus-msp-professional-2-technicians-and-250-it-assets me-servicedesk-plus-msp-professional-multi-language-2-technicians-and-250-it-assets me-servicedesk-plus-msp-standard-10-technicians me-servicedesk-plus-msp-standard-multi-language-10-technicians me-servicedesk-plus-multi-language-enterprise-servicedesk-plus-multi-lan-2-technicians me-servicedesk-plus-multi-language-professional-servicedesk-plus-multi-lan-2-technicians me-servicedesk-plus-multi-language-standard-servicedesk-plus-multi-lan-10-technicians me-servicedesk-plus-professional-2-technicians
me-endpoint,6,done,,me-endpoint-central-enterprise-distributed-enterprise-10-servers-and-single-user-license me-endpoint-central-msp-50-endpoints-and-1-technician me-endpoint-central-professional-10-servers-and-single-user-license me-endpoint-central-security-10-servers-and-single-user-license me-endpoint-central-uem-10-servers-and-single-user-license me-endpoint-dlp-plus-professional-100-workstations
me-opmanager,6,done,,me-opmanager-apm-plugin-10-monitors-apm-plugin me-opmanager-msp-50-devices-pack-with-2-users me-opmanager-nexus-50-devices-pack-with-2-users-and-1-firewall me-opmanager-nexus-flow-interfaces-10-flow-interfaces me-opmanager-professional-10-devices-pack-with-2-users me-opmanager-standard-10-devices-pack-with-2-users
me-password,6,done,,me-password-manager-pro-enterprise-10-administrators-and-10-keys me-password-manager-pro-msp-enterprise-10-administrators-and-10-keys me-password-manager-pro-msp-premium-5-administrators me-password-manager-pro-msp-standard-5-administrators me-password-manager-pro-premium-5-administrators me-password-manager-pro-standard-2-administrators
me-supportcenter,6,done,,me-supportcenter-plus-enterprise-2-support-representatives me-supportcenter-plus-enterprise-multi-language-2-support-representatives me-supportcenter-plus-professional-2-support-representatives me-supportcenter-plus-professional-multi-language-2-support-representatives me-supportcenter-plus-standard-10-support-representatives me-supportcenter-plus-standard-multi-language-10-support-representatives
ms-office,6,queued,,ms-office-hb-2021-mac ms-office-hb-2021-win ms-office-hb-2024-mac ms-office-hb-2024-win ms-office-proplus-2021 ms-office-proplus-2024
solidworks-design,6,queued,,solidworks-design-premium-device solidworks-design-premium solidworks-design-professional-device solidworks-design-professional solidworks-design-standard-device solidworks-design-standard
